City,Average Fatalities All Mode,All Mode Fatality Rate,All Mode Fatality Points,Average Fatalities Bike,Bike Fatality Rate,Bike Fatality Points,All Mode Injuries,All Mode Injury Rate,All Mode Injury Points,Bike Injuries,Bike Injury Rate,Bike Injury Points,All mode safety points,Bike Safety Points,Community Survey Safety Score,Total Safety Points
"YUMA, AZ",9.8,1.0,2.0,0.2,10.6,3.0,,,,,,,1.0,1.5,,1.0
"RAVENNA, OH",1.6,1.4,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,,1.4
"PHILADELPHIA, PA",94.8,0.6,3.0,3.2,2.3,4.0,,,,,,,1.5,2.0,2.1,1.8
"SANTA ANA, CA",23.0,0.7,3.0,2.0,13.9,3.0,,,,,,,1.5,1.5,2.2,1.6
"CHICAGO, IL",128.4,0.5,3.0,5.4,2.5,4.0,,,,,,,1.5,2.0,2.4,1.9
"VENICE, FL",2.0,0.9,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,,1.4
"LITTLETON, CO",1.4,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.6,2.3
"ROGERS, AR",2.4,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,3.2,2.4
"EVANSVILLE, IN",18.6,1.6,2.0,0.6,40.8,2.0,,,,,,,1.0,1.0,2.0,1.2
"SAINT PAUL, MN",9.6,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.9,2.4
"HARTFORD, CT",9.4,0.8,3.0,0.2,8.6,4.0,,,,,,,1.5,2.0,2.2,1.8
"SYRACUSE, NY",8.6,0.6,3.0,0.6,10.1,3.0,,,,,,,1.5,1.5,2.3,1.7
"BROOKLYN, NY",69.6,0.3,4.0,6.8,3.4,4.0,938.0,3.6,2.0,139.0,69.3,2.0,3.0,3.0,2.2,2.8
"TUSCALOOSA, AL",10.8,1.1,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,,1.4
"CHICO, CA",4.8,0.5,3.0,0.8,3.7,4.0,30.5,3.4,2.0,2.5,11.5,4.0,2.5,4.0,,2.6
"GOLETA, CA",0.8,0.3,4.0,0.4,7.6,4.0,12.0,3.9,2.0,2.0,38.2,3.0,3.0,3.5,2.9,3.2
"SEMINOLE, FL",2.8,1.5,2.0,0.6,80.0,1.0,,,,,,,1.0,0.5,,0.6
"PITTSBURGH, PA",18.4,0.6,3.0,0.8,2.7,4.0,,,,,,,1.5,2.0,2.5,1.9
"POCATELLO, ID",2.8,0.5,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6
"PEORIA, IL",6.6,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.2,2.0
"BURLINGTON, VT",0.4,0.1,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.7,2.3
"RICHLAND, WA",2.2,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.8,2.4
"PARADISE, NV",0.0,0.0,5.0,0.0,0.0,5.0,,,,,,,2.5,2.5,,2.0
"ERIE, PA",7.0,0.7,3.0,0.2,9.0,4.0,,,,,,,1.5,2.0,2.3,1.9
"DENVER, CO",47.2,0.7,3.0,2.6,3.2,4.0,616.5,9.1,0.0,38.5,47.6,2.0,1.5,3.0,2.5,2.3
"MASSILLON, OH",1.8,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.8,2.2
"BISMARCK, ND",2.4,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.5,2.3
"GAINESVILLE, FL",13.4,1.0,2.0,0.8,2.8,4.0,162.5,12.6,0.0,14.0,49.2,2.0,1.0,3.0,2.4,2.1
"DOVER, DE",4.6,1.2,2.0,0.6,30.5,2.0,,,,,,,1.0,1.0,2.1,1.2
"CRANSTON, RI",4.0,0.5,3.0,0.4,60.6,1.0,,,,,,,1.5,0.5,,0.8
"SAINT CHARLES, MO",3.2,0.5,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"FORT LAUDERDALE, FL",27.6,1.6,2.0,1.6,13.4,3.0,241.0,13.6,0.0,12.0,100.7,1.0,1.0,2.0,1.9,1.6
"STATEN ISLAND, NY",16.6,0.3,4.0,0.6,16.8,3.0,166.0,3.5,2.0,7.5,210.1,0.0,3.0,1.5,1.9,2.2
"SAINT CLOUD, MN",3.0,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"VERO BEACH, FL",1.6,1.0,2.0,0.4,57.1,1.0,,,,,,,1.0,0.5,,0.6
"OLATHE, KS",5.0,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.5,2.3
"JOHNSON CITY, TN",6.0,0.9,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,2.3,1.9
"AVONDALE, AZ",5.0,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.4,2.1
"REDMOND, OR",0.6,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"MCDONOUGH, GA",1.2,0.5,3.0,0.2,133.3,0.0,,,,,,,1.5,0.0,,0.6
"BRONX, NY",42.8,0.3,4.0,2.0,8.6,4.0,564.5,3.9,2.0,48.0,207.3,0.0,3.0,2.0,2.3,2.5
"TUCSON, AZ",56.8,1.1,2.0,4.0,5.9,4.0,298.0,5.6,1.0,24.5,36.3,3.0,1.5,3.5,2.9,2.6
"MONROE, LA",8.4,1.7,1.0,1.0,117.6,1.0,,,,,,,0.5,0.5,,0.4
"LAS CRUCES, NM",9.6,1.0,2.0,0.2,3.3,4.0,,,,,,,1.0,2.0,2.3,1.7
"PROVINCETOWN, MA",0.2,0.8,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.5,2.1
"SCHERERVILLE, IN",1.2,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"SILVER SPRING, MD",0.0,0.0,5.0,0.0,0.0,5.0,,,,,,,2.5,2.5,2.4,2.5
"ANAHEIM, CA",25.0,0.7,3.0,1.0,9.3,3.0,,,,,,,1.5,1.5,2.1,1.6
"FORT WORTH, TX",84.8,1.0,2.0,1.4,19.2,3.0,,,,,,,1.0,1.5,2.5,1.5
"FLINT, MI",12.6,1.3,2.0,0.2,31.7,2.0,,,,,,,1.0,1.0,2.3,1.3
"STOCKTON, CA",26.6,0.9,3.0,2.6,38.3,2.0,,,,,,,1.5,1.0,,1.0
"LAWRENCE, KS",1.8,0.2,4.0,0.2,3.9,4.0,2.0,0.2,4.0,0.0,0.0,5.0,4.0,4.5,2.7,3.9
"APPLETON, WI",1.8,0.2,4.0,0.2,6.5,4.0,,,,,,,2.0,2.0,2.8,2.2
"RIVERSIDE, CA",28.2,0.9,2.0,1.4,13.3,3.0,,,,,,,1.0,1.5,2.4,1.5
"MONTGOMERY, AL",20.8,1.0,2.0,0.2,26.0,2.0,,,,,,,1.0,1.0,1.8,1.2
"IRVINE, CA",11.4,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,3.0,2.4
"NASHUA, NH",4.0,0.5,4.0,0.2,23.8,2.0,,,,,,,2.0,1.0,2.6,1.7
"NEWPORT, RI",1.0,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.5,2.3
"LITTLE ROCK, AR",20.2,1.0,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,2.5,1.9
"NEW HAVEN, CT",11.2,0.9,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.4,2.1
"VANCOUVER, WA",9.4,0.5,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.7,2.1
"BUFFALO, NY",12.8,0.5,3.0,0.8,6.7,4.0,,,,,,,1.5,2.0,2.4,1.9
"LEXINGTON, MA",1.2,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"AUSTIN, TX",80.0,0.9,3.0,1.4,2.1,4.0,435.5,4.7,1.0,32.5,48.0,2.0,2.0,3.0,2.3,2.5
"SEATTLE, WA",26.2,0.4,4.0,1.4,1.0,4.0,,,,,,,2.0,2.0,2.4,2.1
"HONOLULU, HI",20.8,0.6,3.0,0.4,1.2,4.0,,,,,,,1.5,2.0,2.1,1.8
"SACRAMENTO, CA",50.4,1.0,2.0,5.4,12.4,3.0,,,,,,,1.0,1.5,2.5,1.5
"MIAMI, FL",48.4,1.1,2.0,3.2,15.9,3.0,,,,,,,1.0,1.5,1.8,1.4
"DETROIT, MI",118.0,1.7,1.0,3.6,21.1,3.0,,,,,,,0.5,1.5,2.6,1.3
"CONWAY, AR",4.6,0.7,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.6,2.1
"ANCHORAGE, AK",18.6,0.6,3.0,0.6,3.1,4.0,,,,,,,1.5,2.0,2.3,1.9
"DAVIS, CA",1.2,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,3.7,2.5
"SAINT LOUIS, MO",49.8,1.6,2.0,1.0,8.1,4.0,,,,,,,1.0,2.0,2.2,1.6
