City,Average Fatalities All Mode,All Mode Fatality Rate,All Mode Fatality Points,Average Fatalities Bike,Bike Fatality Rate,Bike Fatality Points,All Mode Injuries,All Mode Injury Rate,All Mode Injury Points,Bike Injuries,Bike Injury Rate,Bike Injury Points,All mode safety points,Bike Safety Points,Community Survey Safety Score,Total Safety Points
"BLOOMINGTON, IN",8.4,1.0,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,2.6,1.9
"METAIRIE, LA",6.6,0.5,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"ROCKFORD, IL",15.6,1.0,2.0,0.4,22.7,3.0,,,,,,,1.0,1.5,1.9,1.4
"HALES CORNERS, WI",0.2,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"CLARKSVILLE, TN",18.6,1.3,2.0,0.2,45.5,2.0,,,,,,,1.0,1.0,1.6,1.1
"DANVILLE, KY",1.8,1.1,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,,1.4
"FERNDALE, MI",0.8,0.4,4.0,0.0,0.0,5.0,8.5,4.2,2.0,0.5,27.8,3.0,3.0,4.0,3.1,3.4
"DECATUR, AL",3.2,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6
"THE VILLAGES, FL",0.0,0.0,5.0,0.0,,,,,,,,,2.5,,,1.0
"SAN LUIS OBISPO, CA",1.2,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.6,2.3
"BOSSIER CITY, LA",5.2,0.8,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,1.7,1.9
"NARRAGANSETT, RI",0.0,0.0,5.0,0.0,0.0,5.0,,,,,,,2.5,2.5,2.8,2.6
"BUELLTON, CA",0.2,0.4,4.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,4.5,5.0,2.4,4.3
"CHEYENNE, WY",7.2,1.1,2.0,0.4,39.2,2.0,,,,,,,1.0,1.0,2.4,1.3
"ALEXANDRIA, MN",0.4,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"HILTON HEAD ISLAND, SC",4.8,1.2,2.0,1.4,79.5,1.0,,,,,,,1.0,0.5,,0.6
"BATAVIA, IL",1.6,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6
"WHEELING, WV",1.0,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"MOUNTAIN HOME, AR",1.2,1.0,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,1.9,1.8
"BURLINGAME, CA",1.2,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"BELLEVUE, NE",0.4,0.1,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"MELROSE, MA",1.0,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.5,2.3
"ESTERO, FL",0.0,0.0,5.0,0.0,0.0,5.0,,,,,,,2.5,2.5,,2.0
"WEST VALLEY CITY, UT",10.8,0.8,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6
"SAN ELIZARIO, TX",0.2,0.2,4.0,0.0,,,,,,,,,2.0,,2.5,1.3
"NORTH KANSAS CITY, MO",0.6,1.4,2.0,0.0,,,9.5,21.7,0.0,0.5,,,1.0,,,0.4
"VINEYARD, UT",0.0,0.0,5.0,0.0,,,,,,,,,2.5,,,1.0
"BOULDER JUNCTION, WI",0.0,0.0,5.0,0.0,,,0.0,0.0,5.0,0.0,,,5.0,,4.2,2.8
"BUCKHANNON, WV",1.6,2.9,1.0,0.0,,,,,,,,,0.5,,,0.2
"SOLVANG, CA",0.0,0.0,5.0,0.0,,,0.0,0.0,5.0,0.0,,,5.0,,2.4,2.5
"MORRISTOWN, NJ",0.4,0.2,4.0,0.0,,,,,,,,,2.0,,2.4,1.3
"MELBOURNE BEACH, FL",0.2,0.6,3.0,0.0,,,,,,,,,1.5,,2.7,1.1
"MOORESVILLE, NC",3.8,1.0,2.0,0.0,,,,,,,,,1.0,,1.9,0.8
"BARTLETT, TN",1.4,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"WALLED LAKE, MI",0.0,0.0,5.0,0.0,,,,,,,,,2.5,,,1.0
"PELHAM MANOR, NY",0.0,0.0,5.0,0.0,,,,,,,,,2.5,,,1.0
"LEBANON, OH",0.4,0.2,4.0,0.0,,,,,,,,,2.0,,,0.8
"CENTERVILLE, OH",0.8,0.3,4.0,0.0,,,,,,,,,2.0,,,0.8
"HORN LAKE, MS",0.8,0.3,4.0,0.0,,,,,,,,,2.0,,,0.8
"SPRINGBORO, OH",0.6,0.3,4.0,0.0,,,,,,,,,2.0,,,0.8
"MILFORD, NH",0.8,0.9,3.0,0.0,,,,,,,,,1.5,,,0.6
"CLERMONT, FL",2.0,0.6,3.0,0.2,,,,,,,,,1.5,,,0.6
"WESTLAKE VILLAGE, CA",0.8,0.9,2.0,0.0,,,,,,,,,1.0,,,0.4
"OLIVE BRANCH, MS",3.8,1.1,2.0,0.0,,,,,,,,,1.0,,,0.4
"BRIELLE, NJ",0.6,1.3,2.0,0.0,,,,,,,,,1.0,,,0.4
"TATAMY, PA",0.2,1.9,1.0,0.0,,,,,,,,,0.5,,,0.2
"FOXBOROUGH, MA",1.8,3.2,1.0,0.0,,,,,,,,,0.5,,,0.2
"HOOKSETT, NH",1.4,2.9,1.0,0.0,,,,,,,,,0.5,,,0.2
"PITTSFORD, NY",2.0,11.8,0.0,0.0,,,,,,,,,0.0,,,0.0
