City,Percent Communities of Concern,Number Underserved Communities,Average BNA,BNA Underserved Communities,BNA Gap,BNA Tier,BNA Target,Distance,BNA Points.1,ACS Bike-to-Work Mode Share Men,ACS Bike-to-Work Mode Share Women,ACS Gap,ACS Tier,ACS_Target,Distance.1,ACS Points,Total Reach Points
"DUBLIN, OH",9.8,4,38.8,33.5,5.3,1.0,-25.0,30.3,1.8,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,1.7
"MELBOURNE, FL",12.0,10,8.6,7.4,1.2,3.0,-15.0,16.2,2.0,0.02,0.01,0.01,2.0,-0.05,0.06,1.0,1.7
"LONG BEACH, CA",21.9,89,25.9,26.1,-0.2,2.0,-20.0,19.8,1.9,0.02,0.01,0.01,2.0,-0.05,0.06,1.3,1.7
"OWENSBORO, KY",14.0,7,8.4,6.8,1.6,3.0,-15.0,16.6,1.9,0.01,0.0,0.01,2.0,-0.05,0.06,1.2,1.7
"NASHVILLE, TN",20.1,107,7.9,5.8,2.1,3.0,-15.0,17.1,1.8,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,1.7
"WINFIELD, IL",16.7,3,17.0,16.1,1.0,3.0,-15.0,16.0,2.0,0.01,0.0,0.01,1.0,-0.02,0.03,0.8,1.7
"GREENSBORO, NC",16.2,36,6.7,4.5,2.2,3.0,-15.0,17.2,1.8,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,1.7
"CASPER, WY",2.0,1,32.0,32.1,-0.1,,,,,0.01,0.0,0.0,2.0,-0.05,0.05,1.7,1.7
"SALT LAKE CITY, UT",17.4,32,44.8,34.0,10.7,1.0,-25.0,35.7,1.3,0.04,0.02,0.01,3.0,-0.6,0.61,3.1,1.7
"WEST CHESTER, PA",12.5,2,59.7,63.8,-4.0,,,,,0.01,0.01,0.0,2.0,-0.05,0.05,1.7,1.7
"NEWPORT NEWS, VA",20.1,28,22.4,21.2,1.1,2.0,-20.0,21.1,1.7,0.0,0.0,0.0,1.0,-0.02,0.02,1.8,1.7
"COLUMBUS, IN",7.3,3,26.1,25.9,0.2,2.0,-20.0,20.2,1.8,0.01,0.0,0.01,2.0,-0.05,0.06,1.3,1.7
"RIDGELAND, MS",14.3,6,21.1,21.3,-0.1,2.0,-20.0,19.9,1.9,0.0,0.0,0.0,1.0,-0.02,0.02,1.2,1.7
"TALLAHASSEE, FL",15.5,23,11.7,9.8,2.0,3.0,-15.0,17.0,1.9,0.02,0.01,0.01,2.0,-0.05,0.06,1.2,1.7
"ROCKVILLE, MD",11.8,8,15.1,13.1,2.0,3.0,-15.0,17.0,1.8,0.01,0.0,0.01,2.0,-0.05,0.06,1.3,1.7
"WEST HARTFORD, CT",19.8,16,13.5,10.7,2.8,3.0,-15.0,17.8,1.7,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,1.7
"BAKERSFIELD, CA",23.6,61,21.4,20.4,1.1,2.0,-20.0,21.1,1.7,0.01,0.0,0.0,2.0,-0.05,0.05,1.7,1.7
"BALTIMORE, MD",33.5,239,20.8,20.8,0.0,2.0,-20.0,20.0,1.8,0.02,0.01,0.01,2.0,-0.05,0.06,1.2,1.7
"CINCINNATI, OH",23.6,91,24.3,23.7,0.5,2.0,-20.0,20.5,1.8,0.01,0.0,0.01,2.0,-0.05,0.06,1.4,1.7
"CHARLESTON, SC",14.4,17,17.5,12.0,5.5,3.0,-15.0,20.5,1.2,0.04,0.03,0.01,3.0,-0.6,0.61,3.1,1.7
"SANTA FE, NM",15.4,12,7.5,4.8,2.7,3.0,-15.0,17.7,1.7,0.01,0.01,0.01,2.0,-0.05,0.06,1.5,1.7
