City,Overall Score,Ridership,Safety,Acceleration,Network,Reach,Good Weather Percentile
"KEARNEY, NE",1.7,1.6,2.4,0.4,2.1,1.8,31
"BLOOMINGTON, MN",1.7,1.7,2.4,0.5,2.1,1.8,95
"CHANDLER, AZ",1.6,1.8,1.7,0.4,2.1,1.8,18
"RICHARDSON, TX",1.3,1.4,1.5,0.5,1.3,1.8,45
"KANSAS CITY, MO",1.5,1.8,1.2,0.6,2.1,1.8,45
"KENT, WA",1.3,1,1.6,,0.8,1.8,92
"DES MOINES, IA",1.7,1.8,2,0.7,2.3,1.8,94
"NORWALK, CT",1.5,1,2.8,1,0.8,1.8,88
"SALEM, OR",1.5,1.7,2.1,0.5,1.3,1.7,78
"MELBOURNE, FL",1.2,1.5,1,0.3,1.2,1.7,43
"LONG BEACH, CA",2.8,1.8,2.9,2.9,2.1,1.7,15
"OWENSBORO, KY",1.1,1,1,,0.8,1.7,51
"NASHVILLE, TN",2.1,1.5,1.6,2,1.3,1.7,90
"GREENSBORO, NC",1.3,1.4,1.4,0.5,1.4,1.7,67
"CASPER, WY",1.5,1.1,1,,2.4,1.7,37
"SALT LAKE CITY, UT",2,2.6,1.7,0.6,3.1,1.7,74
"NEWPORT NEWS, VA",1.5,1.4,2,0.3,2,1.7,57
"TALLAHASSEE, FL",1.4,1.6,1.8,0.5,1.4,1.7,66
"BAKERSFIELD, CA",1.2,1.5,1.2,0.5,1.3,1.7,2
"BALTIMORE, MD",2.8,1.7,2.3,3.5,2.1,1.7,91
"CINCINNATI, OH",1.6,1.8,1.8,0.5,2.1,1.7,67
"CHARLESTON, SC",1.4,2.2,1.4,0.4,1.2,1.7,27
"SANTA FE, NM",1.5,1.8,2.1,0.5,1.4,1.7,17
"BROKEN ARROW, OK",1.3,1,1.6,,0.8,1.7,33
"PHOENIX, AZ",1.5,1.9,1.4,0.5,2.2,1.7,18
"RIO RANCHO, NM",1.3,1,1.8,,0.8,1.7,6
"SCRANTON, PA",1.4,0.9,1.6,,1.6,1.7,85
"GILBERT, AZ",1.4,1.1,1.4,,1.6,1.7,18
"HIGH POINT, NC",1.3,1.2,2.4,0.3,1.2,1.7,67
"BRIDGEPORT, CT",1.3,1.4,2,0.3,1.2,1.7,75
"SCOTTSDALE, AZ",1.7,2,1.9,0.5,2.2,1.7,3
"OAKLAND, CA",1.8,2.5,1.8,0.6,2.2,1.6,61
"HATTIESBURG, MS",1.3,1.4,1.9,0.4,1.2,1.6,51
"HAMMOND, IN",1.4,1.2,1,,1.6,1.6,76
"TACOMA, WA",1.6,1.8,1.9,0.6,2.1,1.6,87
"PLANO, TX",1.4,1.5,1.9,0.4,1.3,1.6,45
"COLORADO SPRINGS, CO",3.1,2,3.1,3.9,2.3,1.6,44
"SPRINGFIELD, IL",1.4,1.7,2.1,0.5,1.2,1.6,59
"COLUMBUS, GA",1.1,1,1,,0.8,1.6,42
"THORNTON, CO",1.1,1.1,1,,0.8,1.6,7
"PAWTUCKET, RI",1.4,1.4,2.3,0.3,1.2,1.6,47
"KNOXVILLE, TN",2.4,1.6,1.9,2.9,1.4,1.6,83
"ALBANY, GA",0.9,0.8,0.4,,0.8,1.6,39
"NORFOLK, VA",1.3,1.5,1.9,0.6,1.2,1.6,72
"COLUMBIA, MO",1.7,1.8,2,0.6,2.3,1.6,59
"TOPEKA, KS",1.5,1.7,1.3,0.6,2.2,1.6,45
"DURHAM, NC",2.7,1.7,3.4,3.1,1.4,1.6,85
"MORGANTOWN, WV",1.5,1.4,1.6,0.5,2.2,1.6,81
"YOUNGSTOWN, OH",1,1,0.6,,0.8,1.6,100
"BILOXI, MS",1.1,1.2,1.3,0.4,1.2,1.6,78
"LIVONIA, MI",1.4,1.2,1.4,,1.6,1.6,94
"PORTLAND, OR",3.3,4,2.9,3.2,2.3,1.6,84
"AUGUSTA, GA",1.2,1.4,1.2,0.4,1.3,1.5,38
"DULUTH, MN",1.7,1.7,2.1,0.6,2.2,1.5,68
"DAVENPORT, IA",1.6,1.7,1.9,0.5,2.2,1.5,65
"RICHMOND, VA",1.7,1.8,2.1,0.6,2.2,1.5,90
"SANTA ROSA, CA",1.5,1.7,2.1,0.6,1.4,1.5,33
"HUNTINGTON, WV",1.6,1,1.4,,2.4,1.5,66
"AKRON, OH",1.2,1.6,1.1,0.5,1.3,1.5,80
"WEST FARGO, ND",1.6,1.4,1.8,,1.6,1.5,79
"JACKSONVILLE, FL",1.2,1.6,1.1,0.4,1.2,1.5,76
"NEWARK, DE",1.6,1.7,2.1,0.6,2.2,1.5,63
"EVANSTON, IL",1.7,2.3,2.2,0.6,2.1,1.5,62
"CANTON, OH",1.3,1.5,1.8,0.4,1.3,1.5,99
"SIOUX FALLS, SD",1.5,1.9,2.2,0.6,1.4,1.5,79
"BELLEVUE, WA",1.6,1.7,2.3,0.5,2.1,1.4,80
"CHULA VISTA, CA",1.3,1.3,1.7,0.5,1.3,1.4,33
"MESA, AZ",1.3,1.8,1.7,0.5,1.4,1.4,23
"FAIRFIELD, CA",1.1,1,1.2,,0.8,1.4,29
"LIVERMORE, CA",1.3,1.1,1.8,,0.8,1.4,9
"PEORIA, AZ",1.3,1,1.7,0.4,2.1,1.4,12
"GULFPORT, MS",1.2,0.8,1.6,,0.8,1.4,48
"EL PASO, TX",1.2,1.3,1.8,0.4,1.2,1.4,29
"TRENTON, NJ",1.3,0.9,1.2,,1.6,1.4,51
"EAU CLAIRE, WI",1.8,1.7,2.4,0.6,3,1.4,82
"BOWLING GREEN, KY",1.3,1.3,2,0.4,1.2,1.4,59
"LAKEWOOD, CO",1.4,1.8,1.9,0.5,1.4,1.4,53
"FRESNO, CA",1.3,1.6,1.8,0.5,1.3,1.4,22
"WARWICK, RI",1.2,1,1.6,,0.8,1.3,99
"SIMI VALLEY, CA",1.4,1,1.6,,1.6,1.3,36
"WEST JORDAN, UT",1.2,0.9,1.8,,0.8,1.3,29
"GILLETTE, WY",1.4,0.9,1.6,,1.6,1.3,47
"MERIDIAN, ID",1.2,0.9,1.8,,0.8,1.3,16
"HILO, HI",1.2,1,1,,1.6,1.3,81
"CONCORD, NH",1.3,1.4,2.2,0.5,1.3,1.3,87
"ROSWELL, GA",1.2,1.6,1.5,0.5,1.3,1.3,76
"TEMPE, AZ",1.6,2.2,1.7,0.6,2.2,1.3,18
"RENO, NV",1.5,1.7,1.9,0.6,2.2,1.3,32
"BEAVERTON, OR",1.6,1.8,2.3,0.5,2.1,1.3,75
"CEDAR RAPIDS, IA",1.7,1.9,2.4,0.7,2.2,1.3,70
"BUTTE, MT",1.4,1.2,1.6,,1.6,1.3,62
"CONCORD, NC",1.1,0.9,1.4,,0.8,1.3,17
"COLUMBIA, SC",1.3,1.5,1.1,0.4,2,1.3,30
"SIOUX CITY, IA",1.3,1.5,2.1,0.4,1.3,1.2,57
"LONGMONT, CO",1.4,1.7,1.9,0.6,1.4,1.2,12
"CHESAPEAKE, VA",1.3,1.5,1.6,0.3,1.9,1.2,53
"KENNER, LA",1.3,0.9,1.6,,1.6,1.2,88
"SAN DIEGO, CA",3,2.1,3.3,3.8,2.2,1.2,35
"NORMAN, OK",1.6,2,2.1,0.5,2,1.2,32
"ABERDEEN, SD",1.5,1.2,1.4,,2.4,1.1,64
"JONESBORO, AR",1.1,1.3,1.7,0.3,1.2,1.1,52
"MIDDLETOWN, DE",1.3,0.9,1.8,,1.6,1,63
"SANTA MONICA, CA",3.1,2.6,3.7,2.6,2.9,1,13
"PARKERSBURG, WV",1,0.9,0.6,,1.6,1,68
"HENDERSON, NV",1.4,1.5,2.1,0.5,2.2,0.9,3
"BLOOMINGTON, IN",1.7,1.9,1.9,0.6,3,0.9,68
"METAIRIE, LA",1.3,1.1,1.8,,1.6,0.9,64
"ROCKFORD, IL",1.3,1.6,1.4,0.5,2.1,0.9,96
"CLARKSVILLE, TN",1.1,1.3,1.1,0.3,2,0.8,53
"CHEYENNE, WY",1.2,1.6,1.3,0.4,2.1,0.7,61
"WHEELING, WV",1.2,0.8,1.8,,1.6,0.5,82
"BELLEVUE, NE",1.3,1.3,1.8,,1.6,0.4,82
