Overall Score,Ridership,Safety,Acceleration,Network,Reach,Value,City Name,State
1.2,1.0,1.6,,0.8,1.3,99,WARWICK,RI
1.4,1.0,1.6,,1.6,1.3,36,SIMI VALLEY,CA
1.2,0.9,1.8,,0.8,1.3,29,WEST JORDAN,UT
1.4,0.9,1.6,,1.6,1.3,47,GILLETTE,WY
1.2,0.9,1.8,,0.8,1.3,16,MERIDIAN,ID
1.2,1.0,1.0,,1.6,1.3,81,HILO,HI
1.3,1.4,2.2,0.5,1.3,1.3,87,CONCORD,NH
1.2,1.6,1.5,0.5,1.3,1.3,76,ROSWELL,GA
1.6,2.2,1.7,0.6,2.2,1.3,18,TEMPE,AZ
1.5,1.7,1.9,0.6,2.2,1.3,32,RENO,NV
1.6,1.8,2.3,0.5,2.1,1.3,75,BEAVERTON,OR
1.7,1.9,2.4,0.7,2.2,1.3,70,CEDAR RAPIDS,IA
1.4,1.2,1.6,,1.6,1.3,62,BUTTE,MT
1.1,0.9,1.4,,0.8,1.3,17,CONCORD,NC
1.3,1.5,1.1,0.4,2.0,1.3,30,COLUMBIA,SC
1.3,1.5,2.1,0.4,1.3,1.2,57,SIOUX CITY,IA
1.4,1.7,1.9,0.6,1.4,1.2,12,LONGMONT,CO
1.3,1.5,1.6,0.3,1.9,1.2,53,CHESAPEAKE,VA
1.3,0.9,1.6,,1.6,1.2,88,KENNER,LA
3.0,2.1,3.3,3.8,2.2,1.2,35,SAN DIEGO,CA
1.6,2.0,2.1,0.5,2.0,1.2,32,NORMAN,OK
1.5,1.2,1.4,,2.4,1.1,64,ABERDEEN,SD
1.1,1.3,1.7,0.3,1.2,1.1,52,JONESBORO,AR
1.3,0.9,1.8,,1.6,1.0,63,MIDDLETOWN,DE
3.1,2.6,3.7,2.6,2.9,1.0,13,SANTA MONICA,CA
1.0,0.9,0.6,,1.6,1.0,68,PARKERSBURG,WV
1.4,1.5,2.1,0.5,2.2,0.9,3,HENDERSON,NV
1.7,1.9,1.9,0.6,3.0,0.9,68,BLOOMINGTON,IN
1.3,1.1,1.8,,1.6,0.9,64,METAIRIE,LA
1.3,1.6,1.4,0.5,2.1,0.9,96,ROCKFORD,IL
1.1,1.3,1.1,0.3,2.0,0.8,53,CLARKSVILLE,TN
1.2,1.6,1.3,0.4,2.1,0.7,61,CHEYENNE,WY
1.2,0.8,1.8,,1.6,0.5,82,WHEELING,WV
1.3,1.3,1.8,,1.6,0.4,82,BELLEVUE,NE
