City,BNA,BNA Points,Community Survey Network Score,Total Nework Points
"NARRAGANSETT, RI",29.4,2,2.3,2.1
"BUELLTON, CA",44.6,3,1.7,2.7
"CHEYENNE, WY",29.2,2,2.3,2.1
"ALEXANDRIA, MN",20.0,2,,1.6
"HILTON HEAD ISLAND, SC",58.6,3,,2.4
"BATAVIA, IL",49.8,3,,2.4
"WHEELING, WV",21.2,2,,1.6
"MOUNTAIN HOME, AR",16.0,1,1.1,1.0
"BURLINGAME, CA",35.8,2,,1.6
"BELLEVUE, NE",26.1,2,,1.6
"MELROSE, MA",22.1,2,2.5,2.1
"ESTERO, FL",20.4,2,,1.6
"WEST VALLEY CITY, UT",23.5,2,,1.6
"SAN ELIZARIO, TX",18.9,1,1.9,1.2
"NORTH KANSAS CITY, MO",27.7,2,,1.6
"VINEYARD, UT",23.3,2,,1.6
"BOULDER JUNCTION, WI",42.1,3,3.1,3.0
"BUCKHANNON, WV",36.5,2,,1.6
"SOLVANG, CA",52.6,3,2.0,2.8
"MORRISTOWN, NJ",23.7,2,2.6,2.1
"MELBOURNE BEACH, FL",10.4,1,1.9,1.2
"MOORESVILLE, NC",9.1,1,1.4,1.1
"BARTLETT, TN",17.1,1,,0.8
"WALLED LAKE, MI",15.7,1,,0.8
"PELHAM MANOR, NY",2.0,1,,0.8
"LEBANON, OH",22.9,2,,1.6
"CENTERVILLE, OH",25.8,2,,1.6
"HORN LAKE, MS",22.6,2,,1.6
"SPRINGBORO, OH",15.7,1,,0.8
"MILFORD, NH",14.0,1,,0.8
"CLERMONT, FL",13.5,1,,0.8
"WESTLAKE VILLAGE, CA",23.1,2,,1.6
"OLIVE BRANCH, MS",24.9,2,,1.6
"BRIELLE, NJ",4.9,1,,0.8
"TATAMY, PA",10.7,1,,0.8
"FOXBOROUGH, MA",13.0,1,,0.8
"HOOKSETT, NH",18.3,1,,0.8
"PITTSFORD, NY",6.6,1,,0.8
