City,ACS Bike-to-Work Mode Share,Land Area, Population ,ACS Target,ACS Normalized Score,ACS Ridership Points,SMS Recreation Riding,SMS Points,Community Survey Ridership Score,Total ridership score
"ATHENS, GA",1.50%,116.4,"122,292",7.80%,15.0,0.7,11.70%,1.9,2.4,1.6
"FAIRBANKS, AK",1.20%,31.7,"31,853",17.20%,6.1,0.3,14.20%,2.4,2.5,1.6
"EMMAUS, PA",0.60%,2.9,"11,360",45.10%,1.3,0.1,14.60%,2.4,,1.0
"ALEXANDRIA, VA",1.90%,15.0,"154,710",26.30%,6.1,0.3,21.50%,3.6,2.6,2.1
"LA CROSSE, WI",3.70%,20.5,"51,928",20.80%,14.1,0.7,16.00%,2.7,2.8,1.9
"TULSA, OK",0.30%,196.8,"401,352",6.40%,4.6,0.2,14.10%,2.4,2.5,1.5
"YUMA, AZ",0.50%,120.3,"93,851",7.80%,5.5,0.3,10.00%,1.7,,0.8
"RAVENNA, OH",0.10%,5.6,"11,530",37.00%,0.3,0.0,14.80%,2.5,,1.0
"PHILADELPHIA, PA",3.40%,134.1,"1,569,657",7.80%,39.2,2.0,17.40%,2.9,3.0,2.6
"SANTA ANA, CA",1.00%,27.3,"334,493",20.80%,4.6,0.2,12.10%,2.0,2.3,1.3
"CHICAGO, IL",2.80%,227.6,"2,722,586",5.70%,44.9,2.2,17.10%,2.9,3.1,2.7
"VENICE, FL",2.60%,15.3,"22,192",26.30%,8.4,0.4,14.00%,2.3,,1.1
"LITTLETON, CO",0.50%,13.0,"45,848",26.30%,1.6,0.1,18.00%,3.0,2.9,1.8
"ROGERS, AR",0.10%,37.9,"63,411",17.20%,0.8,0.0,13.10%,2.2,2.6,1.4
"EVANSVILLE, IN",0.30%,44.2,"119,806",12.60%,1.8,0.1,16.40%,2.7,2.1,1.5
"SAINT PAUL, MN",2.00%,52.0,"300,820",12.60%,14.0,0.7,17.40%,2.9,3.0,2.0
"HARTFORD, CT",0.60%,17.4,"124,390",26.30%,2.2,0.1,12.10%,2.0,2.3,1.3
"SYRACUSE, NY",1.40%,25.0,"144,405",20.80%,5.8,0.3,12.50%,2.1,2.4,1.4
"BROOKLYN, NY",6.80%,70.8,"2,635,121",11.50%,56.4,2.8,16.30%,2.7,3.1,2.8
"TUSCALOOSA, AL",0.90%,60.2,"97,373",11.50%,6.9,0.3,12.40%,2.1,,1.0
"CHICO, CA",5.70%,32.9,"90,660",17.20%,28.7,1.4,16.50%,2.7,,1.7
"GOLETA, CA",3.60%,7.9,"30,847",37.00%,9.8,0.5,14.60%,2.4,2.9,1.8
"SEMINOLE, FL",1.10%,5.1,"18,206",37.00%,2.5,0.1,14.70%,2.4,,1.0
"PITTSBURGH, PA",2.90%,55.4,"305,012",12.60%,21.6,1.1,17.30%,2.9,2.8,2.1
"POCATELLO, ID",2.00%,32.2,"54,658",17.20%,10.1,0.5,14.20%,2.4,,1.2
"PEORIA, IL",0.50%,48.0,"115,424",12.60%,3.5,0.2,16.70%,2.8,2.3,1.6
"BURLINGTON, VT",7.60%,10.3,"42,453",26.30%,21.8,1.1,12.40%,2.1,2.9,1.8
"RICHLAND, WA",0.90%,35.7,"53,991",17.20%,4.5,0.2,14.60%,2.4,2.5,1.6
"PARADISE, NV",0.90%,46.7,"231,858",12.60%,5.7,0.3,17.60%,2.9,,1.3
"ERIE, PA",0.60%,19.1,"98,970",26.30%,2.3,0.1,13.50%,2.3,2.3,1.4
"DENVER, CO",2.70%,153.0,"678,467",6.40%,35.3,1.8,20.50%,3.4,3.1,2.7
"MASSILLON, OH",0.20%,18.6,"32,320",26.30%,0.8,0.0,15.80%,2.6,1.9,1.5
"BISMARCK, ND",0.40%,30.8,"70,536",17.20%,2.0,0.1,17.80%,3.0,2.2,1.7
"GAINESVILLE, FL",5.90%,61.3,"129,394",11.50%,46.8,2.3,13.40%,2.2,2.8,2.4
"DOVER, DE",1.30%,23.1,"37,109",20.80%,5.3,0.3,12.50%,2.1,2.1,1.4
"CRANSTON, RI",0.20%,28.3,"80,979",20.80%,0.9,0.0,12.80%,2.1,,0.9
"SAINT CHARLES, MO",0.10%,23.6,"69,026",20.80%,0.3,0.0,17.80%,3.0,,1.2
"FORT LAUDERDALE, FL",1.60%,34.8,"177,175",17.20%,8.4,0.4,14.70%,2.5,2.3,1.6
"STATEN ISLAND, NY",0.30%,58.4,"475,948",12.60%,2.0,0.1,17.80%,3.0,2.3,1.7
"SAINT CLOUD, MN",1.30%,40.0,"67,093",12.60%,7.4,0.4,15.40%,2.6,,1.2
"VERO BEACH, FL",1.10%,11.4,"16,261",26.30%,3.4,0.2,12.30%,2.0,,0.9
"OLATHE, KS",0.30%,59.7,"134,368",12.60%,2.7,0.1,21.30%,3.5,1.9,1.9
"JOHNSON CITY, TN",0.20%,42.9,"65,598",12.60%,1.2,0.1,12.10%,2.0,2.1,1.3
"AVONDALE, AZ",0.60%,45.6,"81,590",12.60%,3.8,0.2,12.40%,2.1,2.1,1.3
"REDMOND, OR",0.20%,16.8,"28,492",26.30%,0.6,0.0,13.40%,2.2,,0.9
"MCDONOUGH, GA",0.20%,12.7,"23,504",26.30%,0.5,0.0,13.50%,2.2,,0.9
"BRONX, NY",1.40%,42.1,"1,455,846",12.60%,8.5,0.4,11.00%,1.8,2.6,1.4
"TUCSON, AZ",3.20%,226.7,"530,905",5.70%,52.0,2.6,15.70%,2.6,2.8,2.6
"MONROE, LA",0.50%,29.2,"48,938",20.80%,2.3,0.1,11.60%,1.9,,0.8
"LAS CRUCES, NM",1.50%,76.5,"101,014",11.50%,13.0,0.6,14.60%,2.4,2.3,1.7
"PROVINCETOWN, MA",14.40%,1.8,"2,581",51.00%,27.9,1.4,16.00%,2.7,2.7,2.2
"SCHERERVILLE, IN",0.10%,14.7,"28,778",26.30%,0.5,0.0,17.20%,2.9,,1.2
"SILVER SPRING, MD",1.40%,7.9,"79,483",37.00%,3.7,0.2,16.00%,2.7,2.6,1.6
"ANAHEIM, CA",0.70%,49.8,"349,007",12.60%,4.7,0.2,13.60%,2.3,2.2,1.4
"FORT WORTH, TX",0.20%,339.8,"835,129",5.70%,3.5,0.2,14.50%,2.4,2.4,1.5
"FLINT, MI",0.20%,33.4,"97,810",17.20%,1.2,0.1,15.20%,2.5,2.1,1.4
"STOCKTON, CA",0.60%,61.7,"304,358",11.50%,5.0,0.3,12.90%,2.1,,1.0
"LAWRENCE, KS",1.10%,33.6,"93,954",17.20%,5.9,0.3,17.20%,2.9,2.6,1.8
"APPLETON, WI",0.90%,24.3,"73,832",20.80%,3.6,0.2,18.90%,3.1,2.7,1.9
"RIVERSIDE, CA",0.80%,81.1,"321,570",10.70%,7.2,0.4,12.20%,2.0,2.6,1.5
"MONTGOMERY, AL",0.10%,159.6,"200,761",6.40%,1.2,0.1,13.00%,2.2,1.8,1.2
"IRVINE, CA",1.70%,66.1,"256,877",11.50%,13.9,0.7,18.30%,3.0,2.5,2.0
"NASHUA, NH",0.20%,30.9,"87,642",17.20%,1.0,0.0,15.40%,2.6,2.2,1.5
"NEWPORT, RI",2.20%,7.7,"24,745",37.00%,5.9,0.3,14.60%,2.4,2.4,1.6
"LITTLE ROCK, AR",0.20%,119.2,"197,780",7.80%,1.7,0.1,14.10%,2.4,2.3,1.4
"NEW HAVEN, CT",4.30%,18.7,"130,884",26.30%,15.8,0.8,13.00%,2.2,2.6,1.7
"VANCOUVER, WA",0.60%,46.5,"171,393",12.60%,3.6,0.2,16.50%,2.7,2.5,1.7
"BUFFALO, NY",1.40%,40.4,"259,574",12.60%,8.0,0.4,15.80%,2.6,2.8,1.8
"LEXINGTON, MA",1.50%,16.4,"33,339",26.30%,5.2,0.3,15.40%,2.6,,1.1
"AUSTIN, TX",1.50%,297.9,"916,906",5.70%,26.9,1.3,15.60%,2.6,3.0,2.2
"SEATTLE, WA",5.70%,83.9,"688,245",10.70%,50.3,2.5,23.30%,3.9,3.2,3.2
"HONOLULU, HI",2.50%,60.5,"350,788",11.50%,19.6,1.0,17.60%,2.9,2.4,2.0
"SACRAMENTO, CA",2.30%,97.9,"489,650",10.70%,21.2,1.1,16.20%,2.7,2.8,2.1
"MIAMI, FL",1.20%,35.9,"443,007",17.20%,6.4,0.3,11.50%,1.9,2.6,1.4
"DETROIT, MI",0.90%,138.8,"679,865",7.80%,10.9,0.5,13.50%,2.3,2.8,1.7
"CONWAY, AR",0.30%,45.3,"64,481",12.60%,2.0,0.1,12.90%,2.2,2.0,1.3
"ANCHORAGE, AK",1.30%,1704.7,"298,225",5.70%,23.5,1.2,15.80%,2.6,2.6,2.1
"DAVIS, CA",24.00%,9.9,"67,500",26.30%,67.9,3.4,14.80%,2.5,3.2,3.0
"SAINT LOUIS, MO",1.00%,61.9,"314,867",11.50%,8.1,0.4,17.80%,3.0,2.5,1.9
"CORPUS CHRISTI, TX",0.30%,160.6,"322,726",6.40%,3.9,0.2,13.10%,2.2,2.1,1.4
"ROANOKE, VA",0.80%,42.6,"99,572",12.60%,4.8,0.2,14.80%,2.5,2.5,1.6
"ALBANY, NY",1.30%,21.4,"98,498",20.80%,5.0,0.3,13.30%,2.2,,1.0
"CAMBRIDGE, MA",18.00%,6.4,"110,893",37.00%,44.6,2.2,33.40%,5.6,3.0,3.7
"FREDERICK, MD",0.90%,22.0,"69,330",20.80%,3.5,0.2,15.60%,2.6,2.1,1.5
"GLENDALE, AZ",1.00%,60.0,"241,543",12.60%,7.8,0.4,14.40%,2.4,2.2,1.6
"MENOMONEE FALLS, WI",0.20%,32.9,"36,411",17.20%,0.8,0.0,17.20%,2.9,2.0,1.6
"ROCHESTER, MN",1.30%,54.6,"112,683",12.60%,9.5,0.5,18.50%,3.1,,1.4
"SPRINGFIELD, VA",0.20%,7.9,"30,556",37.00%,0.6,0.0,14.80%,2.5,2.1,1.4
"LAFAYETTE, LA",1.20%,49.2,"126,476",12.60%,7.9,0.4,14.30%,2.4,,1.1
"EAST HONOLULU, HI",0.20%,23.0,"47,868",20.80%,0.9,0.0,16.20%,2.7,,1.1
"FOLSOM, CA",0.80%,21.9,"75,897",20.80%,3.0,0.2,15.00%,2.5,2.4,1.5
"HURST, TX",0.30%,9.9,"38,813",26.30%,0.8,0.0,15.20%,2.5,,1.0
"HOUSTON, TX",0.60%,599.6,"2,267,336",5.70%,10.0,0.5,13.80%,2.3,2.4,1.6
"CARLSBAD, CA",0.40%,37.7,"113,147",17.20%,2.3,0.1,15.70%,2.6,,1.1
"COLUMBUS, OH",0.80%,217.2,"852,144",5.70%,13.1,0.7,19.00%,3.2,2.8,2.1
"ASHEVILLE, NC",1.00%,44.9,"89,318",12.60%,6.2,0.3,12.80%,2.1,2.6,1.5
"WARREN, MI",0.40%,34.4,"135,147",17.20%,2.0,0.1,17.00%,2.8,2.2,1.6
"NEW YORK, NY",4.20%,302.6,"8,560,072",5.70%,72.6,3.6,,,,1.5
"GREEN BAY, WI",0.60%,45.5,"104,796",12.60%,4.1,0.2,18.30%,3.0,2.7,1.8
"ARLINGTON, TX",0.20%,95.9,"388,225",10.70%,2.0,0.1,14.30%,2.4,2.2,1.4
"SPOKANE, WA",0.80%,59.2,"212,982",12.60%,6.5,0.3,15.70%,2.6,2.6,1.7
"VIRGINIA BEACH, VA",0.60%,249.0,"450,057",5.70%,10.3,0.5,15.70%,2.6,,1.3
"ALBUQUERQUE, NM",1.60%,187.7,"556,718",6.40%,23.4,1.2,16.50%,2.8,3.0,2.2
"FAYETTEVILLE, NC",0.20%,145.8,"210,324",7.80%,2.0,0.1,14.40%,2.4,1.9,1.4
"SAINT CHARLES, IL",0.60%,14.6,"32,730",26.30%,1.9,0.1,18.50%,3.1,,1.3
"ARLINGTON, VA",3.00%,26.0,"229,534",20.80%,13.2,0.7,22.70%,3.8,2.7,2.3
"OMAHA, NE",0.30%,127.1,"463,081",7.80%,3.6,0.2,19.10%,3.2,2.4,1.8
"CHAMPAIGN, IL",3.50%,22.4,"85,710",20.80%,13.9,0.7,16.40%,2.7,2.5,1.9
"MADISON, WI",6.20%,76.8,"248,856",11.50%,53.5,2.7,18.70%,3.1,3.1,2.9
"ROCHESTER, NY",1.40%,35.8,"209,463",17.20%,7.4,0.4,14.80%,2.5,2.6,1.7
"SAVANNAH, GA",2.40%,103.2,"145,094",7.80%,22.6,1.1,12.50%,2.1,2.4,1.8
"SCOTTS VALLEY, CA",1.00%,4.6,"11,892",37.00%,2.2,0.1,14.80%,2.5,,1.0
"KINGSTON, NY",1.40%,7.5,"23,419",37.00%,3.7,0.2,12.80%,2.1,2.3,1.4
"HARRISBURG, PA",1.20%,8.1,"49,278",26.30%,3.3,0.2,14.80%,2.5,2.3,1.5
"SAN FRANCISCO, CA",8.30%,46.9,"864,263",12.60%,53.1,2.7,24.20%,4.0,3.1,3.3
"CLEVELAND, OH",0.80%,77.7,"388,812",11.50%,6.6,0.3,16.30%,2.7,2.7,1.8
"BARBERTON, OH",0.10%,9.0,"26,230",26.30%,0.2,0.0,16.40%,2.7,,1.1
"LAKE CHARLES, LA",0.90%,42.1,"75,194",12.60%,5.7,0.3,13.20%,2.2,,1.0
"MOBILE, AL",0.20%,139.1,"192,085",7.80%,1.9,0.1,12.60%,2.1,2.0,1.3
"FEDERAL WAY, WA",0.30%,22.3,"94,905",20.80%,1.1,0.1,15.10%,2.5,,1.0
"JACKSON, MS",0.10%,111.0,"170,393",7.80%,0.6,0.0,12.50%,2.1,1.7,1.2
"CHATTANOOGA, TN",0.50%,137.2,"176,291",7.80%,5.9,0.3,13.10%,2.2,2.4,1.5
"AURORA, CO",0.20%,154.7,"357,323",6.40%,2.3,0.1,18.40%,3.1,2.6,1.8
"NEW ORLEANS, LA",3.90%,169.4,"388,182",6.40%,53.6,2.7,13.80%,2.3,2.7,2.5
"REDWOOD CITY, CA",2.80%,19.4,"84,368",26.30%,10.5,0.5,18.50%,3.1,2.4,1.9
"LINCOLN, NE",1.50%,89.1,"277,315",10.70%,13.2,0.7,18.00%,3.0,2.8,2.0
"PROVIDENCE, RI",1.60%,18.4,"179,509",26.30%,5.9,0.3,16.60%,2.8,2.7,1.8
"PROVO, UT",3.20%,41.7,"116,199",12.60%,19.3,1.0,12.80%,2.1,2.7,1.8
"GRESHAM, OR",0.90%,23.2,"110,336",20.80%,3.6,0.2,15.60%,2.6,,1.1
"DALLAS, TX",0.30%,340.5,"1,300,122",5.70%,4.5,0.2,13.90%,2.3,2.5,1.5
"WASHINGTON, DC",10.20%,61.0,"672,391",11.50%,81.4,4.1,18.70%,3.1,3.1,3.5
"NEWARK, NJ",0.40%,24.2,"282,803",20.80%,1.5,0.1,11.10%,1.9,,0.8
"HUNTSVILLE, AL",0.30%,209.1,"190,501",5.70%,4.7,0.2,13.80%,2.3,2.3,1.5
"PORT CHESTER, NY",0.00%,2.3,"29,623",45.10%,0.0,0.0,12.70%,2.1,,0.8
"JACKSON, TN",0.10%,53.7,"66,977",12.60%,1.0,0.0,11.90%,2.0,,0.8
