City_Alt,ACS Bike-to-Work Mode Share,Land Area, Population ,ACS Target,ACS Normalized Score,ACS Ridership Points,SMS Recreation Riding,SMS Points,Community Survey Ridership Score,Total ridership score,Average Fatalities All Mode,All Mode Fatality Rate,All Mode Fatality Points,Average Fatalities Bike,Bike Fatality Rate,Bike Fatality Points,All Mode Injuries,All Mode Injury Rate,All Mode Injury Points,Bike Injuries,Bike Injury Rate,Bike Injury Points,All mode safety points,Bike Safety Points,Community Survey Safety Score,Total Safety Points,City Snapshot Points,Community Survey Acceleration Score,Total Acceleration Points,BNA,BNA Points,Community Survey Network Score,Total Nework Points,Percent Communities of Concern,Number Underserved Communities,Average BNA,BNA Underserved Communities,BNA Gap,BNA Tier,BNA Target,Distance,BNA Points.1,ACS Bike-to-Work Mode Share Men,ACS Bike-to-Work Mode Share Women,ACS Gap,ACS Tier,ACS_Target,Distance.1,ACS Points,Total Reach Points,Total Ponts
"COEUR D'ALENE, ID",1.50%,15.6,"48,618",26.30%,5.1,0.3,15.70%,2.6,2.5,1.6,,,,,,,,,,,,,2.5,2.5,3.1,2.6,,2.8,0.6,6.7,1,3.0,1.4,5.6,2,7.1,7.0,0.1,,,,,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,3.1,1.9
"SOUTH BURLINGTON, VT",2.00%,16.5,"18,773",26.30%,6.9,0.3,15.00%,2.5,2.5,1.6,0.4,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.7,2.3,,2.2,0.4,24.6,2,2.6,2.1,10.0,2,20.6,27.6,-7.0,,,,,0.03,0.01,0.01,3.0,-0.6,0.61,3.1,3.1,1.9
"STILLWATER, OK",2.30%,29.5,"48,685",20.80%,11.0,0.6,12.00%,2.0,,1.0,1.8,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8,,,,32.9,2,,1.6,5.9,2,27.9,23.4,4.5,,,,,0.03,0.02,0.01,3.0,-0.6,0.61,3.1,3.1,1.9
"RAPID CITY, SD",0.40%,55.4,"72,841",12.60%,3.2,0.2,17.40%,2.9,2.3,1.7,3.8,0.5,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.5,2.1,,2.3,0.5,31.8,2,3.0,2.2,13.8,9,27.5,39.3,-11.8,1.0,-25.0,13.2,3.6,0.01,0.0,0.0,1.0,-0.02,0.02,1.5,3.1,1.9
"MANHATTAN, KS",2.50%,18.8,"55,427",26.30%,9.1,0.5,16.00%,2.7,2.1,1.7,3.0,0.5,3.0,0.2,3.1,4.0,,,,,,,1.5,2.0,2.8,2.0,,2.3,0.5,38.6,2,2.7,2.1,4.9,2,36.6,5.7,31.0,,,,,0.03,0.02,0.01,3.0,-0.6,0.61,3.1,3.1,1.9
"MONTPELIER, VT",1.50%,10.1,"7,584",26.30%,4.4,0.2,13.70%,2.3,,1.0,0.2,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8,,,,18.8,1,,0.8,0.0,0,15.8,,,,,,,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,3.1,1.7
"CARPINTERIA, CA",2.40%,2.6,"13,593",45.10%,4.9,0.2,14.60%,2.4,2.5,1.6,0.8,0.6,3.0,0.0,0.0,5.0,3.0,2.2,3.0,1.0,70.9,2.0,3.0,3.5,3.0,3.2,0.0,2.6,0.5,31.3,2,2.7,2.1,8.3,1,24.9,35.1,-10.3,,,,,0.03,0.02,0.01,3.0,-0.6,0.61,3.1,3.1,2.6
"MISSOULA, MT",7.50%,27.5,"70,847",20.80%,34.0,1.7,16.60%,2.8,3.2,2.4,2.8,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,3.0,2.4,,3.7,0.7,25.5,2,3.6,2.3,5.9,4,26.9,33.7,-6.9,1.0,-25.0,18.1,3.1,0.1,0.05,0.04,3.0,-0.6,0.64,3.0,3.1,2.2
"WAUKESHA, WI",0.20%,24.8,"72,173",20.80%,1.0,0.1,17.90%,3.0,2.3,1.7,2.6,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.5,2.3,,2.1,0.4,39.7,2,2.4,2.1,12.0,10,39.7,50.3,-10.6,1.0,-25.0,14.4,3.5,0.0,0.0,0.0,1.0,-0.02,0.02,1.8,3.1,1.9
"BOISE, ID",3.00%,79.4,"220,859",11.50%,25.6,1.3,15.80%,2.6,3.0,2.2,12.8,0.6,3.0,1.0,3.2,4.0,,,,,,,1.5,2.0,2.9,2.0,,3.6,0.7,9.7,1,3.7,1.5,4.7,7,8.6,7.1,1.5,,,,,0.04,0.02,0.02,3.0,-0.6,0.62,3.1,3.1,1.9
"MARSHFIELD, WI",1.80%,13.5,"18,326",26.30%,5.6,0.3,15.80%,2.6,2.3,1.6,0.6,0.3,4.0,0.2,12.6,3.0,,,,,,,2.0,1.5,2.9,2.0,,2.7,0.5,53.2,3,2.3,2.9,0.0,0,46.5,,,,,,,0.03,0.01,0.02,3.0,-0.6,0.62,3.1,3.1,2.0
"ASHLAND, WI",1.20%,13.4,"7,997",26.30%,3.7,0.2,14.10%,2.3,,1.0,0.4,0.5,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6,,,,42.5,3,,2.4,0.0,0,36.8,,,,,,,0.02,0.0,0.02,3.0,-0.6,0.62,3.1,3.1,2.0
