City_Alt,ACS Bike-to-Work Mode Share,Land Area, Population ,ACS Target,ACS Normalized Score,ACS Ridership Points,SMS Recreation Riding,SMS Points,Community Survey Ridership Score,Total ridership score,Average Fatalities All Mode,All Mode Fatality Rate,All Mode Fatality Points,Average Fatalities Bike,Bike Fatality Rate,Bike Fatality Points,All Mode Injuries,All Mode Injury Rate,All Mode Injury Points,Bike Injuries,Bike Injury Rate,Bike Injury Points,All mode safety points,Bike Safety Points,Community Survey Safety Score,Total Safety Points,City Snapshot Points,Community Survey Acceleration Score,Total Acceleration Points,BNA,BNA Points,Community Survey Network Score,Total Nework Points,Percent Communities of Concern,Number Underserved Communities,Average BNA,BNA Underserved Communities,BNA Gap,BNA Tier,BNA Target,Distance,BNA Points.1,ACS Bike-to-Work Mode Share Men,ACS Bike-to-Work Mode Share Women,ACS Gap,ACS Tier,ACS_Target,Distance.1,ACS Points,Total Reach Points,Total Ponts
"SPRINGFIELD, VA",0.20%,7.9,"30,556",37.00%,0.6,0.0,14.80%,2.5,2.1,1.4,0.0,0.0,5.0,0.0,0.0,5.0,,,,,,,2.5,2.5,2.8,2.6,,2.4,0.5,26.6,2,2.7,2.1,11.1,4,19.2,21.1,-1.9,3.0,-15.0,13.1,2.6,0.0,0.0,0.0,1.0,-0.02,0.02,1.1,2.2,1.8
"LAFAYETTE, LA",1.20%,49.2,"126,476",12.60%,7.9,0.4,14.30%,2.4,,1.1,15.6,1.2,2.0,1.6,22.8,3.0,,,,,,,1.0,1.5,,1.0,,,,14.2,1,,0.8,13.9,16,12.6,14.4,-1.8,3.0,-15.0,13.2,2.6,0.02,0.01,0.01,2.0,-0.05,0.06,1.1,2.2,1.3
"EAST HONOLULU, HI",0.20%,23.0,"47,868",20.80%,0.9,0.0,16.20%,2.7,,1.1,,,,,,,,,,,,,,,,,,,,17.2,1,,0.8,10.0,4,15.8,16.3,-0.5,3.0,-15.0,14.5,2.3,0.0,0.0,0.0,1.0,-0.02,0.02,1.8,2.2,1.4
"FOLSOM, CA",0.80%,21.9,"75,897",20.80%,3.0,0.2,15.00%,2.5,2.4,1.5,3.8,0.5,3.0,0.2,8.7,4.0,,,,,,,1.5,2.0,3.3,2.1,,3.1,0.6,34.2,2,3.6,2.3,7.7,4,26.6,30.4,-3.9,2.0,-20.0,16.1,2.5,0.01,0.0,0.01,2.0,-0.05,0.06,1.4,2.2,1.8
"HURST, TX",0.30%,9.9,"38,813",26.30%,0.8,0.0,15.20%,2.5,,1.0,3.8,1.0,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,,1.4,,,,10.5,1,,0.8,6.4,5,10.2,10.3,-0.2,3.0,-15.0,14.8,2.2,0.0,0.0,0.0,1.0,-0.02,0.02,2.0,2.2,1.4
"HOUSTON, TX",0.60%,599.6,"2,267,336",5.70%,10.0,0.5,13.80%,2.3,2.4,1.6,225.0,1.0,2.0,6.2,11.0,3.0,,,,,,,1.0,1.5,1.9,1.4,,2.9,0.6,15.7,1,2.7,1.3,21.3,401,13.5,14.6,-1.1,3.0,-15.0,13.9,2.4,0.01,0.0,0.01,2.0,-0.05,0.06,1.5,2.2,1.4
"CARLSBAD, CA",0.40%,37.7,"113,147",17.20%,2.3,0.1,15.70%,2.6,,1.1,6.0,0.5,3.0,0.8,42.8,2.0,,,,,,,1.5,1.0,,1.0,,,,16.4,1,,0.8,14.6,14,14.4,16.8,-2.4,3.0,-15.0,12.6,2.7,0.01,0.0,0.01,1.0,-0.02,0.03,0.7,2.2,1.3
"COLUMBUS, OH",0.80%,217.2,"852,144",5.70%,13.1,0.7,19.00%,3.2,2.8,2.1,50.0,0.6,3.0,2.2,6.9,4.0,,,,,,,1.5,2.0,2.5,1.9,,3.0,0.6,30.3,2,3.0,2.2,19.5,170,30.5,30.8,-0.3,1.0,-25.0,24.7,2.4,0.01,0.0,0.01,2.0,-0.05,0.06,1.4,2.2,1.8
"ASHEVILLE, NC",1.00%,44.9,"89,318",12.60%,6.2,0.3,12.80%,2.1,2.6,1.5,14.4,1.6,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,1.8,1.8,,2.8,0.6,7.7,1,3.0,1.4,8.8,9,5.9,7.4,-1.6,3.0,-15.0,13.4,2.5,0.02,0.0,0.01,2.0,-0.05,0.06,1.2,2.2,1.5
"WARREN, MI",0.40%,34.4,"135,147",17.20%,2.0,0.1,17.00%,2.8,2.2,1.6,9.6,0.7,3.0,0.2,9.6,3.0,,,,,,,1.5,1.5,2.3,1.7,,1.4,0.3,25.4,2,1.7,1.9,13.5,26,24.1,28.6,-4.5,2.0,-20.0,15.5,2.6,0.01,0.0,0.01,1.0,-0.02,0.03,1.0,2.2,1.5
"NEW YORK, NY",4.20%,302.6,"8,560,072",5.70%,72.6,3.6,,,,1.5,244.6,0.3,4.0,16.0,3.4,4.0,,,,,,,2.0,2.0,,1.6,,,,46.6,3,,2.4,22.9,1455,47.0,42.0,4.9,1.0,-25.0,29.9,1.9,0.05,0.03,0.02,3.0,-0.6,0.62,3.1,2.2,1.9
"GREEN BAY, WI",0.60%,45.5,"104,796",12.60%,4.1,0.2,18.30%,3.0,2.7,1.8,3.8,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.6,2.3,,2.8,0.6,32.7,2,2.7,2.1,10.3,12,33.1,32.3,0.8,1.0,-25.0,25.8,2.3,0.01,0.01,0.0,2.0,-0.05,0.05,1.7,2.2,1.8
"ARLINGTON, TX",0.20%,95.9,"388,225",10.70%,2.0,0.1,14.30%,2.4,2.2,1.4,27.2,0.7,3.0,1.0,25.4,2.0,,,,,,,1.5,1.0,2.0,1.4,,1.6,0.3,11.2,1,2.0,1.2,12.7,39,11.6,11.9,-0.3,3.0,-15.0,14.7,2.3,0.0,0.0,0.0,1.0,-0.02,0.02,1.8,2.2,1.3
"SPOKANE, WA",0.80%,59.2,"212,982",12.60%,6.5,0.3,15.70%,2.6,2.6,1.7,11.2,0.5,3.0,1.0,14.6,3.0,,,,,,,1.5,1.5,2.5,1.7,,3.1,0.6,22.3,2,3.0,2.2,10.4,21,24.9,28.8,-3.9,2.0,-20.0,16.1,2.5,0.01,0.0,0.01,2.0,-0.05,0.06,1.2,2.2,1.7
"VIRGINIA BEACH, VA",0.60%,249.0,"450,057",5.70%,10.3,0.5,15.70%,2.6,,1.3,23.2,0.5,3.0,1.8,13.1,3.0,,,,,,,1.5,1.5,,1.2,,,,17.3,1,,0.8,8.8,28,17.9,18.7,-0.8,3.0,-15.0,14.2,2.4,0.01,0.0,0.01,2.0,-0.05,0.06,1.5,2.2,1.4
"ALBUQUERQUE, NM",1.60%,187.7,"556,718",6.40%,23.4,1.2,16.50%,2.8,3.0,2.2,66.4,1.2,2.0,1.8,4.8,4.0,,,,,,,1.0,2.0,2.4,1.7,,3.2,0.6,13.6,1,3.4,1.5,15.4,70,11.8,9.7,2.1,3.0,-15.0,17.1,1.8,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.1,1.6
"FAYETTEVILLE, NC",0.20%,145.8,"210,324",7.80%,2.0,0.1,14.40%,2.4,1.9,1.4,23.2,1.1,2.0,0.2,14.2,3.0,,,,,,,1.0,1.5,1.8,1.4,,1.3,0.3,8.2,1,1.8,1.2,16.4,27,6.6,7.1,-0.5,3.0,-15.0,14.5,2.3,0.0,0.0,0.0,1.0,-0.02,0.02,1.6,2.1,1.3
"SAINT CHARLES, IL",0.60%,14.6,"32,730",26.30%,1.9,0.1,18.50%,3.1,,1.3,0.8,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8,,,,49.5,3,,2.4,0.0,0,44.8,,,,,,,0.0,0.01,0.0,2.0,-0.05,0.05,2.1,2.1,1.9
"ARLINGTON, VA",3.00%,26.0,"229,534",20.80%,13.2,0.7,22.70%,3.8,2.7,2.3,0.0,0.0,5.0,0.0,0.0,5.0,3.0,0.1,4.0,0.0,0.0,5.0,4.5,5.0,3.0,4.4,2.4,3.4,2.6,48.9,3,2.9,3.0,10.8,22,45.8,40.4,5.4,1.0,-25.0,30.4,1.8,0.04,0.01,0.03,3.0,-0.6,0.63,3.0,2.1,3.4
"OMAHA, NE",0.30%,127.1,"463,081",7.80%,3.6,0.2,19.10%,3.2,2.4,1.8,31.6,0.7,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.2,2.0,,2.5,0.5,29.4,2,2.6,2.1,18.8,94,31.8,31.3,0.5,1.0,-25.0,25.5,2.3,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,2.1,1.7
"CHAMPAIGN, IL",3.50%,22.4,"85,710",20.80%,13.9,0.7,16.40%,2.7,2.5,1.9,3.6,0.4,4.0,0.4,3.5,4.0,,,,,,,2.0,2.0,2.6,2.1,,2.7,0.5,27.7,2,2.5,2.1,14.7,11,29.2,23.6,5.6,1.0,-25.0,30.6,1.8,0.04,0.03,0.01,3.0,-0.6,0.61,3.1,2.1,1.8
"MADISON, WI",6.20%,76.8,"248,856",11.50%,53.5,2.7,18.70%,3.1,3.1,2.9,8.2,0.3,4.0,0.8,1.2,4.0,102.5,4.1,2.0,6.5,9.5,4.0,3.0,4.0,3.2,3.4,1.6,3.6,2.0,52.6,3,3.5,3.1,10.3,23,48.4,42.9,5.4,1.0,-25.0,30.4,1.8,0.08,0.05,0.03,3.0,-0.6,0.63,3.0,2.1,3.2
"ROCHESTER, NY",1.40%,35.8,"209,463",17.20%,7.4,0.4,14.80%,2.5,2.6,1.7,12.8,0.6,3.0,1.0,10.1,3.0,195.0,9.3,0.0,12.5,125.9,0.0,1.5,1.5,2.5,1.7,3.7,2.8,3.5,4.3,1,2.9,1.4,34.7,104,4.8,2.6,2.3,3.0,-15.0,17.3,1.8,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.1,2.6
"SAVANNAH, GA",2.40%,103.2,"145,094",7.80%,22.6,1.1,12.50%,2.1,2.4,1.8,25.0,1.7,1.0,1.2,9.0,4.0,,,,,,,0.5,2.0,1.9,1.4,,2.0,0.4,6.5,1,2.0,1.2,19.0,33,5.8,3.6,2.2,3.0,-15.0,17.2,1.8,0.04,0.01,0.02,3.0,-0.6,0.62,3.1,2.1,1.4
"SCOTTS VALLEY, CA",1.00%,4.6,"11,892",37.00%,2.2,0.1,14.80%,2.5,,1.0,0.0,0.0,5.0,0.0,0.0,5.0,,,,,,,2.5,2.5,,2.0,,,,27.0,2,,1.6,10.0,1,18.0,11.3,6.8,,,,,0.01,0.01,0.0,2.0,-0.05,0.05,2.1,2.1,1.7
"KINGSTON, NY",1.40%,7.5,"23,419",37.00%,3.7,0.2,12.80%,2.1,2.3,1.4,2.4,1.0,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,2.4,1.9,,2.2,0.4,10.3,1,2.3,1.3,10.7,3,5.3,3.1,2.2,3.0,-15.0,17.2,1.8,0.03,0.0,0.03,3.0,-0.6,0.63,3.0,2.1,1.4
"HARRISBURG, PA",1.20%,8.1,"49,278",26.30%,3.3,0.2,14.80%,2.5,2.3,1.5,4.4,0.9,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,2.3,1.9,,2.2,0.4,15.3,1,2.5,1.3,25.5,13,14.1,15.8,-1.8,3.0,-15.0,13.2,2.5,0.02,0.01,0.02,2.0,-0.05,0.07,0.8,2.1,1.5
"SAN FRANCISCO, CA",8.30%,46.9,"864,263",12.60%,53.1,2.7,24.20%,4.0,3.1,3.3,31.6,0.4,4.0,2.4,1.2,4.0,,,,,,,2.0,2.0,2.3,2.1,,3.6,0.7,57.9,3,2.9,3.0,18.0,107,57.3,51.8,5.5,1.0,-25.0,30.5,1.8,0.1,0.06,0.04,3.0,-0.6,0.64,3.0,2.1,2.2
"CLEVELAND, OH",0.80%,77.7,"388,812",11.50%,6.6,0.3,16.30%,2.7,2.7,1.8,36.2,0.9,2.0,0.2,2.1,4.0,,,,,,,1.0,2.0,2.4,1.7,,3.3,0.7,24.7,2,3.0,2.2,27.8,154,24.2,27.7,-3.4,2.0,-20.0,16.6,2.4,0.01,0.0,0.01,2.0,-0.05,0.06,1.2,2.1,1.7
"BARBERTON, OH",0.10%,9.0,"26,230",26.30%,0.2,0.0,16.40%,2.7,,1.1,1.0,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8,,,,16.4,1,,0.8,14.3,6,14.7,14.3,0.4,3.0,-15.0,15.4,2.1,0.0,0.0,0.0,1.0,-0.02,0.02,2.0,2.1,1.5
"LAKE CHARLES, LA",0.90%,42.1,"75,194",12.60%,5.7,0.3,13.20%,2.2,,1.0,14.2,1.9,1.0,0.6,19.8,3.0,,,,,,,0.5,1.5,,0.8,,,,18.6,1,,0.8,20.3,16,19.3,20.5,-1.2,3.0,-15.0,13.8,2.4,0.02,0.0,0.01,2.0,-0.05,0.06,1.1,2.1,1.2
"MOBILE, AL",0.20%,139.1,"192,085",7.80%,1.9,0.1,12.60%,2.1,2.0,1.3,26.6,1.4,2.0,1.0,84.0,1.0,,,,,,,1.0,0.5,1.7,0.9,,2.0,0.4,21.8,2,1.7,1.9,24.5,51,22.6,25.0,-2.5,2.0,-20.0,17.5,2.2,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,2.1,1.3
"FEDERAL WAY, WA",0.30%,22.3,"94,905",20.80%,1.1,0.1,15.10%,2.5,,1.0,5.8,0.6,3.0,0.2,19.0,3.0,25.0,2.6,3.0,0.5,47.6,3.0,3.0,3.0,,2.4,3.0,,2.4,21.1,2,,1.6,16.5,16,17.0,18.1,-1.1,3.0,-15.0,13.9,2.4,0.0,0.0,0.0,1.0,-0.02,0.02,1.1,2.1,1.9
"JACKSON, MS",0.10%,111.0,"170,393",7.80%,0.6,0.0,12.50%,2.1,1.7,1.2,23.4,1.4,2.0,0.2,50.0,2.0,,,,,,,1.0,1.0,1.9,1.2,,1.6,0.3,19.1,1,1.5,1.1,33.0,62,21.1,23.5,-2.3,2.0,-20.0,17.7,2.2,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,2.1,1.2
"CHATTANOOGA, TN",0.50%,137.2,"176,291",7.80%,5.9,0.3,13.10%,2.2,2.4,1.5,26.8,1.5,2.0,0.8,22.2,3.0,,,,,,,1.0,1.5,2.6,1.5,,2.9,0.6,20.7,2,3.2,2.2,16.4,36,21.5,23.8,-2.3,2.0,-20.0,17.7,2.2,0.01,0.0,0.0,2.0,-0.05,0.05,1.7,2.1,1.6
"AURORA, CO",0.20%,154.7,"357,323",6.40%,2.3,0.1,18.40%,3.1,2.6,1.8,23.8,0.7,3.0,0.6,21.5,3.0,,,,,,,1.5,1.5,2.6,1.7,,2.5,0.5,13.3,1,2.8,1.4,15.4,48,12.1,12.1,0.0,3.0,-15.0,15.0,2.2,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,2.1,1.5
"NEW ORLEANS, LA",3.90%,169.4,"388,182",6.40%,53.6,2.7,13.80%,2.3,2.7,2.5,50.4,1.3,2.0,4.2,7.5,4.0,,,,,,,1.0,2.0,2.0,1.6,4.3,3.0,4.0,34.8,2,2.3,2.1,33.5,174,35.2,29.0,6.2,1.0,-25.0,31.2,1.7,0.05,0.03,0.02,3.0,-0.6,0.62,3.0,2.1,3.0
"REDWOOD CITY, CA",2.80%,19.4,"84,368",26.30%,10.5,0.5,18.50%,3.1,2.4,1.9,2.0,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.3,2.3,,2.1,0.4,32.6,2,2.2,2.0,13.9,11,28.6,22.4,6.2,1.0,-25.0,31.2,1.7,0.04,0.01,0.04,3.0,-0.6,0.64,3.0,2.1,1.7
"LINCOLN, NE",1.50%,89.1,"277,315",10.70%,13.2,0.7,18.00%,3.0,2.8,2.0,10.0,0.4,4.0,0.4,2.0,4.0,,,,,,,2.0,2.0,3.1,2.2,2.2,3.3,2.4,28.9,2,3.2,2.2,13.8,27,26.4,25.5,0.9,2.0,-20.0,20.9,1.7,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.1,2.7
"PROVIDENCE, RI",1.60%,18.4,"179,509",26.30%,5.9,0.3,16.60%,2.8,2.7,1.8,9.2,0.5,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.3,2.1,4.7,2.7,4.3,24.8,2,2.5,2.1,27.2,49,24.4,23.4,1.0,2.0,-20.0,21.0,1.7,0.02,0.01,0.0,3.0,-0.6,0.6,3.1,2.1,3.0
"PROVO, UT",3.20%,41.7,"116,199",12.60%,19.3,1.0,12.80%,2.1,2.7,1.8,3.8,0.3,4.0,1.0,6.5,4.0,,,,,,,2.0,2.0,2.6,2.1,,2.9,0.6,32.4,2,3.2,2.2,11.0,11,28.4,21.9,6.5,1.0,-25.0,31.5,1.7,0.04,0.02,0.02,3.0,-0.6,0.62,3.1,2.0,1.8
"GRESHAM, OR",0.90%,23.2,"110,336",20.80%,3.6,0.2,15.60%,2.6,,1.1,4.6,0.4,4.0,0.4,10.7,3.0,,,,,,,2.0,1.5,,1.4,,,,20.9,2,,1.6,19.1,18,16.7,16.9,-0.2,3.0,-15.0,14.8,2.3,0.01,0.0,0.01,2.0,-0.05,0.06,1.4,2.0,1.5
"DALLAS, TX",0.30%,340.5,"1,300,122",5.70%,4.5,0.2,13.90%,2.3,2.5,1.5,171.2,1.3,2.0,1.0,6.8,4.0,,,,,,,1.0,2.0,2.2,1.6,,2.7,0.5,16.9,1,2.5,1.3,24.7,303,16.0,16.0,0.0,3.0,-15.0,15.0,2.2,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,2.0,1.4
"WASHINGTON, DC",10.20%,61.0,"672,391",11.50%,81.4,4.1,18.70%,3.1,3.1,3.5,24.8,0.4,4.0,1.0,0.6,4.0,330.0,4.9,1.0,52.5,32.3,3.0,2.5,3.5,2.4,2.9,2.2,3.3,2.4,37.5,2,3.0,2.2,28.2,127,36.7,30.3,6.4,1.0,-25.0,31.4,1.7,0.12,0.08,0.04,3.0,-0.6,0.64,3.0,2.0,3.1
"NEWARK, NJ",0.40%,24.2,"282,803",20.80%,1.5,0.1,11.10%,1.9,,0.8,23.6,0.8,3.0,0.8,30.2,2.0,,,,,,,1.5,1.0,,1.0,,,,19.3,1,,0.8,7.3,16,20.9,22.9,-2.0,2.0,-20.0,18.0,2.2,0.0,0.0,0.0,1.0,-0.02,0.02,1.6,2.0,1.2
"HUNTSVILLE, AL",0.30%,209.1,"190,501",5.70%,4.7,0.2,13.80%,2.3,2.3,1.5,17.8,0.9,2.0,0.0,0.0,5.0,126.5,6.6,0.0,3.5,140.6,0.0,1.0,2.5,2.0,1.8,5.4,2.4,4.8,19.8,1,2.5,1.3,18.7,34,16.8,17.7,-0.8,3.0,-15.0,14.2,2.4,0.01,0.0,0.01,1.0,-0.02,0.03,1.0,2.0,2.8
"PORT CHESTER, NY",0.00%,2.3,"29,623",45.10%,0.0,0.0,12.70%,2.1,,0.8,0.6,0.2,4.0,0.0,,,,,,,,,2.0,,,0.8,,,,6.4,1,,0.8,11.1,3,5.4,8.1,-2.6,3.0,-15.0,12.4,2.7,0.0,0.0,0.0,,,,,2.0,1.1
"JACKSON, TN",0.10%,53.7,"66,977",12.60%,1.0,0.0,11.90%,2.0,,0.8,5.8,0.9,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6,,,,15.8,1,,0.8,20.0,12,17.6,17.2,0.4,3.0,-15.0,15.4,2.1,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,2.0,1.3
"FREMONT, CA",0.70%,77.5,"230,964",11.50%,5.7,0.3,18.30%,3.1,2.3,1.8,10.6,0.5,4.0,0.6,12.5,3.0,,,,,,,2.0,1.5,2.6,1.9,,2.5,0.5,18.3,1,2.4,1.3,5.4,8,18.3,18.4,-0.1,3.0,-15.0,14.9,2.2,0.01,0.0,0.01,2.0,-0.05,0.06,1.4,2.0,1.5
"SHREVEPORT, LA",0.30%,105.4,"196,217",7.80%,2.5,0.1,13.40%,2.2,2.0,1.3,22.2,1.1,2.0,0.6,30.5,2.0,,,,,,,1.0,1.0,1.9,1.2,,1.9,0.4,19.7,1,1.9,1.2,33.3,62,19.9,22.3,-2.5,2.0,-20.0,17.5,2.2,0.0,0.0,0.0,1.0,-0.02,0.02,1.3,2.0,1.2
"MARIETTA, GA",0.10%,23.1,"60,203",20.80%,0.4,0.0,15.50%,2.6,2.1,1.5,10.6,1.8,1.0,0.8,275.9,0.0,,,,,,,0.5,0.0,1.9,0.6,,1.5,0.3,8.0,1,2.0,1.2,9.9,7,6.3,6.2,0.1,3.0,-15.0,15.1,2.2,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,2.0,1.1
"CORVALLIS, OR",15.30%,14.1,"56,224",26.30%,48.6,2.4,17.30%,2.9,2.9,2.7,1.4,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,3.3,2.5,0.6,3.4,1.2,38.1,2,3.7,2.3,11.6,5,38.1,31.2,6.9,1.0,-25.0,31.9,1.7,0.17,0.14,0.03,3.0,-0.6,0.63,3.0,2.0,2.6
"SAN ANTONIO, TX",0.20%,460.9,"1,461,623",5.70%,4.3,0.2,13.70%,2.3,2.4,1.5,162.2,1.1,2.0,4.0,26.6,2.0,,,,,,,1.0,1.0,2.1,1.2,,2.9,0.6,25.1,2,2.7,2.1,20.6,217,23.3,25.4,-2.1,2.0,-20.0,17.9,2.2,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,2.0,1.5
"BANGOR, ME",0.20%,34.3,"32,237",17.20%,1.0,0.0,13.50%,2.3,2.2,1.4,1.4,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.4,2.3,,1.8,0.4,31.8,2,2.3,2.1,7.7,2,27.1,15.4,11.7,,,,,0.0,0.0,0.0,1.0,-0.02,0.02,2.0,2.0,1.6
"DELAWARE, OH",0.20%,19.0,"38,193",26.30%,0.6,0.0,17.60%,2.9,,1.2,1.8,0.5,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6,,,,22.8,2,,1.6,3.8,1,22.8,10.3,12.6,,,,,0.0,0.0,0.0,1.0,-0.02,0.02,2.0,2.0,1.6
"LAS VEGAS, NV",0.40%,135.8,"621,662",7.80%,4.7,0.2,15.00%,2.5,2.5,1.6,46.2,0.7,3.0,1.6,15.6,3.0,,,,,,,1.5,1.5,2.0,1.6,,2.3,0.5,20.2,2,2.6,2.1,17.9,95,21.4,23.8,-2.4,2.0,-20.0,17.6,2.2,0.01,0.0,0.0,1.0,-0.02,0.02,1.3,2.0,1.6
"BELLA VISTA, AR",0.30%,44.3,"28,092",12.60%,1.7,0.1,13.10%,2.2,2.0,1.3,1.8,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,3.3,2.3,4.3,3.0,4.0,40.8,3,3.1,3.0,7.7,2,28.6,17.3,11.3,,,,,0.0,0.0,0.0,1.0,-0.02,0.02,2.0,2.0,3.0
"STERLING HEIGHTS, MI",0.10%,36.5,"131,996",17.20%,0.4,0.0,17.80%,3.0,2.0,1.6,6.8,0.5,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.8,2.2,,1.7,0.3,13.6,1,2.5,1.3,4.0,4,14.7,14.0,0.6,,,,,0.0,0.0,0.0,1.0,-0.02,0.02,2.0,2.0,1.5
"SOUTHAVEN, MS",0.10%,41.2,"52,434",12.60%,0.4,0.0,13.00%,2.2,,0.9,4.2,0.8,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6,,,,26.8,2,,1.6,2.6,1,21.0,34.9,-13.9,,,,,0.0,0.0,0.0,1.0,-0.02,0.02,2.0,2.0,1.5
"REVERE, MA",0.50%,5.7,"53,864",37.00%,1.1,0.1,16.10%,2.7,,1.1,1.2,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8,0.5,,0.4,5.9,1,,0.8,8.6,5,6.8,5.0,1.8,3.0,-15.0,16.8,1.9,0.0,0.01,0.0,1.0,-0.02,0.02,2.3,2.0,1.2
"MACON, GA",0.10%,,"153,621",,,,12.10%,2.0,1.9,1.2,23.0,1.5,2.0,0.2,54.1,1.0,,,,,,,1.0,0.5,1.7,0.9,,2.2,0.4,8.8,1,1.9,1.2,29.5,31,5.2,4.6,0.6,3.0,-15.0,15.6,2.1,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,2.0,1.1
"EUGENE, OR",7.90%,43.7,"163,135",12.60%,48.1,2.4,17.20%,2.9,3.1,2.7,5.2,0.3,4.0,0.4,0.8,4.0,21.0,1.3,4.0,1.5,3.0,4.0,4.0,4.0,3.0,3.8,4.0,3.4,3.8,25.9,2,3.4,2.3,5.8,8,22.1,20.8,1.3,2.0,-20.0,21.3,1.7,0.1,0.06,0.04,3.0,-0.6,0.64,3.0,2.0,3.4
"TOLEDO, OH",0.20%,80.7,"279,455",10.70%,1.7,0.1,16.00%,2.7,2.5,1.6,23.6,0.8,3.0,0.6,28.4,2.0,,,,,,,1.5,1.0,2.2,1.4,,2.5,0.5,15.5,1,2.5,1.3,24.0,78,16.8,16.5,0.3,3.0,-15.0,15.3,2.2,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,2.0,1.4
"REDMOND, WA",1.40%,16.3,"60,712",26.30%,4.9,0.2,17.80%,3.0,2.4,1.8,2.0,0.3,4.0,0.2,5.4,4.0,,,,,,,2.0,2.0,2.8,2.2,,2.8,0.6,27.7,2,3.3,2.3,9.1,7,23.0,21.5,1.5,2.0,-20.0,21.5,1.6,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.0,1.7
"HICKORY, NC",0.30%,29.7,"40,157",20.80%,1.6,0.1,11.90%,2.0,,0.8,5.4,1.3,2.0,0.2,34.5,2.0,,,,,,,1.0,1.0,,0.8,,,,6.6,1,,0.8,13.7,10,5.8,3.9,1.9,3.0,-15.0,16.9,1.9,0.0,0.01,0.0,1.0,-0.02,0.02,2.3,2.0,1.1
"HOOVER, AL",0.00%,47.2,"84,150",12.60%,0.2,0.0,15.30%,2.5,,1.0,6.0,0.7,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6,,,,18.3,1,,0.8,7.4,9,14.2,16.5,-2.3,3.0,-15.0,12.7,2.6,0.0,0.0,0.0,,,,,2.0,1.4
"BILLINGS, MT",0.70%,43.4,"109,082",12.60%,4.1,0.2,16.30%,2.7,2.4,1.7,4.4,0.4,4.0,0.4,11.6,3.0,,,,,,,2.0,1.5,2.4,1.9,1.6,2.4,1.8,27.9,2,2.7,2.1,10.8,10,27.5,24.9,2.7,1.0,-25.0,27.7,2.1,0.01,0.0,0.0,2.0,-0.05,0.05,1.6,2.0,2.4
"SAN JOSE, CA",1.00%,176.5,"1,023,031",6.40%,14.4,0.7,16.90%,2.8,3.0,2.0,55.4,0.5,3.0,3.4,7.5,4.0,,,,,,,1.5,2.0,2.5,1.9,,3.3,0.7,18.2,1,3.2,1.4,14.0,106,19.0,18.8,0.2,3.0,-15.0,15.2,2.2,0.01,0.01,0.01,2.0,-0.05,0.06,1.4,2.0,1.6
"PINE BLUFF, AR",0.00%,44.6,"44,509",12.60%,0.0,0.0,11.30%,1.9,,0.8,4.6,1.0,2.0,0.0,,,,,,,,,1.0,,,0.4,,,,34.4,2,,1.6,32.2,19,28.7,31.1,-2.4,1.0,-25.0,22.6,2.6,0.0,0.0,0.0,,,,,2.0,1.2
"LEXINGTON, KY",0.80%,283.6,"315,109",5.70%,13.9,0.7,14.90%,2.5,2.3,1.7,31.6,1.0,2.0,0.4,3.4,4.0,,,,,,,1.0,2.0,2.4,1.7,,2.9,0.6,9.9,1,2.7,1.3,10.0,21,9.2,8.8,0.5,3.0,-15.0,15.5,2.1,0.01,0.01,0.01,2.0,-0.05,0.06,1.5,2.0,1.5
